"ADM0_EN","ADM1_EN","ADM2_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE"
"China","Jiangsu Province","Zhenjiang",3,0,0,0,0,"2020-02-03"
"China","Jiangxi Province","Fuzhou",29,0,0,0,0,"2020-02-03"
"China","Jiangxi Province","Ganzhou",35,0,0,0,1,"2020-02-03"
"China","Jiangxi Province","Ji'an",13,0,0,0,1,"2020-02-03"
"China","Jiangxi Province","Jingdezhen",3,0,0,0,1,"2020-02-03"
"China","Jiangxi Province","Jiujiang",64,0,0,0,2,"2020-02-03"
"China","Jiangxi Province","Nanchang",111,0,0,0,4,"2020-02-03"
"China","Jiangxi Province","Pingxiang",18,0,0,0,1,"2020-02-03"
"China","Jiangxi Province","Shangrao",32,0,0,0,4,"2020-02-03"
"China","Jiangxi Province","Xinyu",50,0,0,0,3,"2020-02-03"
"China","Jiangxi Province","Yichun",36,0,0,0,1,"2020-02-03"
"China","Jiangxi Province","Yingtan",8,0,0,0,0,"2020-02-03"
"China","Jilin Province","Baicheng",0,0,0,0,0,"2020-02-03"
"China","Jilin Province","Baishan",0,0,0,0,0,"2020-02-03"
"China","Jilin Province","Changchun",17,0,0,0,1,"2020-02-03"
"China","Jilin Province","Jilin",4,0,0,0,0,"2020-02-03"
"China","Jilin Province","Liaoyuan",0,0,0,0,0,"2020-02-03"
"China","Jilin Province","Siping",9,0,0,0,0,"2020-02-03"
"China","Jilin Province","Songyuan",2,0,0,0,0,"2020-02-03"
"China","Jilin Province","Tonghua",2,0,0,0,0,"2020-02-03"
"China","Jilin Province","Yanbian Korean Autonomous Prefecture",2,0,0,0,0,"2020-02-03"
"China","Liaoning Province","Anshan",1,0,0,0,0,"2020-02-03"
"China","Liaoning Province","Benxi",3,0,0,0,0,"2020-02-03"
"China","Liaoning Province","Chaoyang",6,0,0,0,0,"2020-02-03"
"China","Liaoning Province","Dalian",12,0,0,0,1,"2020-02-03"
"China","Liaoning Province","Dandong",6,0,0,0,0,"2020-02-03"
"China","Liaoning Province","Fushun",0,0,0,0,0,"2020-02-03"
"China","Liaoning Province","Fuxin",5,0,0,0,0,"2020-02-03"
"China","Liaoning Province","Huludao",5,0,0,0,0,"2020-02-03"
"China","Liaoning Province","Jinzhou",7,0,0,0,0,"2020-02-03"
"China","Liaoning Province","Liaoyang",2,0,0,0,0,"2020-02-03"
"China","Liaoning Province","Panjin",8,0,0,0,0,"2020-02-03"
"China","Liaoning Province","Shenyang",15,0,0,0,0,"2020-02-03"
"China","Liaoning Province","Tieling",3,0,0,0,0,"2020-02-03"
"China","Liaoning Province","Yingkou",1,0,0,0,0,"2020-02-03"
"China","Macao Special Administrative Region","Macao Special Administrative Region",0,0,0,0,0,"2020-02-03"
"China","Ningxia Hui Autonomous Region","Guyuan",2,0,0,0,0,"2020-02-03"
"China","Ningxia Hui Autonomous Region","Shizuishan",0,0,0,0,0,"2020-02-03"
"China","Ningxia Hui Autonomous Region","Wuzhong",7,0,0,0,0,"2020-02-03"
"China","Ningxia Hui Autonomous Region","Yinchuan",58,0,0,0,3,"2020-02-03"
"China","Ningxia Hui Autonomous Region","Zhongwei",2,0,0,0,0,"2020-02-03"
"China","Qinghai Province","Golog Tibetan Autonomous Prefecture",0,0,0,0,0,"2020-02-03"
"China","Qinghai Province","Haibei Tibetan Autonomous Prefecture",1,0,0,0,0,"2020-02-03"
"China","Qinghai Province","Haidong",0,0,0,0,0,"2020-02-03"
"China","Qinghai Province","Hainan Tibetan Autonomous Prefecture",0,0,0,0,0,"2020-02-03"
"China","Qinghai Province","Haixi Mongolian Autonomous Prefecture",0,0,0,0,0,"2020-02-03"
"China","Qinghai Province","Huangnan Tibetan Autonomous Prefecture",0,0,0,0,0,"2020-02-03"
"China","Qinghai Province","Xining",12,0,0,0,0,"2020-02-03"
"China","Qinghai Province","Yushu Tibetan Autonomous Prefecture",0,0,0,0,0,"2020-02-03"
"China","Shaanxi Province","Ankang",17,0,0,0,0,"2020-02-03"
"China","Shaanxi Province","Baoji",8,0,0,0,0,"2020-02-03"
"China","Shaanxi Province","Hanzhong",15,0,0,0,0,"2020-02-03"
"China","Shaanxi Province","Shangluo",2,0,0,0,0,"2020-02-03"
"China","Shaanxi Province","Tongchuan",7,0,0,0,0,"2020-02-03"
"China","Shaanxi Province","Weinan",13,0,0,0,0,"2020-02-03"
"China","Shaanxi Province","Xi'an",55,0,0,0,0,"2020-02-03"
"China","Shaanxi Province","Xianyang",18,0,0,0,0,"2020-02-03"
"China","Shaanxi Province","Yan'an",7,0,0,0,0,"2020-02-03"
"China","Shaanxi Province","Yulin",1,0,0,0,0,"2020-02-03"
"China","Shandong Province","Binzhou",11,0,0,0,0,"2020-02-03"
"China","Shandong Province","Dezhou",19,0,0,0,1,"2020-02-03"
"China","Shandong Province","Dongying",0,0,0,0,0,"2020-02-03"
"China","Shandong Province","Heze",10,0,0,0,0,"2020-02-03"
"China","Shandong Province","Jinan",22,0,0,0,0,"2020-02-03"
"China","Shandong Province","Jining",18,0,0,0,1,"2020-02-03"
"China","Shandong Province","Laiwu",0,0,0,0,0,"2020-02-03"
"China","Shandong Province","Liaocheng",10,0,0,0,0,"2020-02-03"
"China","Shandong Province","Linyi",25,0,0,0,1,"2020-02-03"
"China","Shandong Province","Qingdao",26,0,0,0,1,"2020-02-03"
"China","Shandong Province","Rizhao",14,0,0,0,0,"2020-02-03"
"China","Shandong Province","Tai'an",12,0,0,0,1,"2020-02-03"
"China","Shandong Province","Weifang",13,0,0,0,0,"2020-02-03"
"China","Shandong Province","Weihai",25,0,0,0,2,"2020-02-03"
"China","Shandong Province","Yantai",26,0,0,0,0,"2020-02-03"
"China","Shandong Province","Zaozhuang",16,0,0,0,0,"2020-02-03"
"China","Shandong Province","Zibo",12,0,0,0,0,"2020-02-03"
"China","Shanghai Municipality","Shanghai Municipality",203,0,0,1,5,"2020-02-03"
"China","Shanxi Province","Changzhi",3,0,0,0,0,"2020-02-03"
"China","Shanxi Province","Datong",9,0,0,0,0,"2020-02-03"
"China","Shanxi Province","Jincheng",7,0,0,0,0,"2020-02-03"
"China","Shanxi Province","Jinzhong",19,0,0,0,0,"2020-02-03"
"China","Shanxi Province","Linfen",1,0,0,0,0,"2020-02-03"
"China","Shanxi Province","Lüliang",5,0,0,0,0,"2020-02-03"
"China","Shanxi Province","Shuozhou",3,0,0,0,0,"2020-02-03"
"China","Shanxi Province","Taiyuan",6,0,0,0,1,"2020-02-03"
"China","Shanxi Province","Xinzhou",3,0,0,0,0,"2020-02-03"
"China","Shanxi Province","Yangquan",2,0,0,0,0,"2020-02-03"
"China","Shanxi Province","Yuncheng",16,0,0,0,1,"2020-02-03"
"China","Sichuan Province","Bazhong",12,0,0,0,0,"2020-02-03"
"China","Sichuan Province","Chengdu",77,0,0,1,10,"2020-02-03"
"China","Sichuan Province","Dazhou",11,0,0,0,1,"2020-02-03"
"China","Sichuan Province","Deyang",10,0,0,0,0,"2020-02-03"
"China","Sichuan Province","Garzê Tibetan Autonomous Prefecture",6,0,0,0,0,"2020-02-03"
"China","Sichuan Province","Guang'an",21,0,0,0,1,"2020-02-03"
"China","Sichuan Province","Guangyuan",5,0,0,0,0,"2020-02-03"
"China","Sichuan Province","Leshan",2,0,0,0,0,"2020-02-03"
"China","Sichuan Province","Liangshan Yi Autonomous Prefecture",6,0,0,0,0,"2020-02-03"
"China","Sichuan Province","Luzhou",7,0,0,0,0,"2020-02-03"
"China","Sichuan Province","Meishan",3,0,0,0,0,"2020-02-03"
"China","Sichuan Province","Mianyang",17,0,0,0,1,"2020-02-03"
"China","Sichuan Province","Nanchong",26,0,0,0,0,"2020-02-03"
"China","Sichuan Province","Neijiang",12,0,0,0,0,"2020-02-03"
"China","Sichuan Province","Ngawa Tibetan and Qiang Autonomous Prefecture",1,0,0,0,0,"2020-02-03"
"China","Sichuan Province","Panzhihua",10,0,0,0,0,"2020-02-03"
"China","Sichuan Province","Suining",5,0,0,0,0,"2020-02-03"
"China","Sichuan Province","Ya'an",5,0,0,0,0,"2020-02-03"
"China","Sichuan Province","Yibin",7,0,0,0,0,"2020-02-03"
"China","Sichuan Province","Zigong",9,0,0,0,0,"2020-02-03"
"China","Sichuan Province","Ziyang",2,0,0,0,0,"2020-02-03"
"China","Taiwan Province","Taiwan province",0,0,0,0,0,"2020-02-03"
"China","Tianjin Municipality","Tianjin Municipality",60,0,0,0,1,"2020-02-03"
"China","Tibet Autonomous Region","Lhasa",0,0,0,0,0,"2020-02-03"
