"","NAME","source_type","ADM_scale","announcement_board","institution","institution_type","announcement_type","announcement_date","start_date","end_date","announcement_link","gathering_size","public_health_mobilization","notes","access_date","who_by","last_checked"
"109","Kansas","government","ADM1",NA,NA,"government","gathering_size_limited",2020-03-16,2020-03-16,NA,"https://www.leavenworthtimes.com/news/20200316/kelly-imposes-cdc-limit-of-50-people-at-gatherings-kansas-documents-11-cases",50,NA,NA,2020-03-16,"DMO",2020-03-21
"110","Kansas","government","ADM1",NA,NA,"government","shelter_in_place",NA,NA,NA,NA,NA,NA,NA,NA,"ARW",2020-03-19
"111","Kentucky","government","ADM1",NA,NA,"government","state of emergency",2020-03-06,2020-03-06,NA,"https://kentucky.gov/Pages/Activity-stream.aspx?n=GovernorBeshear&prId=77",NA,NA,NA,2020-03-18,"DMO",2020-03-18
"112","Kentucky","government","ADM1",NA,NA,"government","non-contact school",NA,NA,NA,NA,NA,NA,NA,NA,"DMO",2020-03-18
"113","Kentucky","government","ADM1",NA,NA,"government","prohibit_business",2020-03-16,2020-03-17,NA,"https://www.wdrb.com/news/kentucky-and-indiana-bars-and-restaurants-to-close-dine-in/article_ef1eb27a-678a-11ea-8ad8-eb7927ad966a.html",NA,NA,"all non essential service 2020-03-17 businesses to close",2020-03-18,"DMO",2020-03-18
"114","Kentucky","government","ADM1",NA,NA,"government","gathering_size_limited",NA,NA,NA,NA,NA,NA,NA,NA,"DMO",2020-03-18
"115","Kentucky","government","ADM1",NA,NA,"government","shelter_in_place",NA,NA,NA,NA,NA,NA,NA,NA,"ARW",2020-03-19
"116","Louisiana","government","ADM1",NA,NA,"government","state of emergency",NA,NA,NA,"http://ldh.la.gov/Coronavirus/",NA,NA,NA,NA,"DMO",2020-03-18
"117","Louisiana","government","ADM1",NA,NA,"government","non-contact school",2020-03-13,2020-03-16,2020-04-13,"https://gov.louisiana.gov/index.cfm/newsroom/detail/2403",NA,NA,NA,2020-03-18,"DMO",2020-03-18
"118","Louisiana","government","ADM1",NA,NA,"government","prohibit_business",2020-03-16,2020-03-17,NA,"https://www.theadvocate.com/baton_rouge/news/coronavirus/article_e33926a0-67c3-11ea-99f9-bfe96aa59571.html",NA,NA,"non essential businesses to close",2020-03-18,"DMO",2020-03-18
"119","Louisiana","government","ADM1",NA,NA,"government","gathering_size_limited",2020-03-13,NA,NA,"https://gov.louisiana.gov/index.cfm/newsroom/detail/2403",250,NA,NA,2020-03-18,"DMO",2020-03-18
"120","Louisiana","government","ADM1",NA,NA,"government","shelter_in_place",NA,NA,NA,NA,NA,NA,NA,NA,"ARW",2020-03-19
"121","Maine","government","ADM1",NA,NA,"government","first",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
