"","location","State_Code","date_time_accessed","WeekStart","state_weekly_cases","national_weekly_cases","national_weekly_deaths","national_weekly_rec","epiweek"
"177","Massachusetts","MA",2020-03-19 19:28:58,2020-01-19,0,3,0,0,4
"178","Massachusetts","MA",2020-03-19 19:28:58,2020-01-26,1,8,0,0,5
"179","Massachusetts","MA",2020-03-19 19:28:58,2020-02-02,0,12,0,0,6
"180","Massachusetts","MA",2020-03-19 19:28:58,2020-02-16,0,14,0,0,8
"181","Massachusetts","MA",2020-03-19 19:28:58,2020-02-23,0,24,1,0,9
"182","Massachusetts","MA",2020-03-19 19:28:58,2020-03-01,12,353,19,0,10
"183","Massachusetts","MA",2020-03-19 19:28:58,2020-03-08,125,2825,56,0,11
"184","Massachusetts","MA",2020-03-19 19:28:58,2020-03-15,190,11855,170,0,12
"185","Michigan","MI",2020-03-19 19:28:58,2020-01-19,0,3,0,0,4
"186","Michigan","MI",2020-03-19 19:28:58,2020-01-26,0,8,0,0,5
"187","Michigan","MI",2020-03-19 19:28:58,2020-02-02,0,12,0,0,6
"188","Michigan","MI",2020-03-19 19:28:58,2020-02-16,0,14,0,0,8
"189","Michigan","MI",2020-03-19 19:28:58,2020-02-23,0,24,1,0,9
"190","Michigan","MI",2020-03-19 19:28:58,2020-03-01,0,353,19,0,10
"191","Michigan","MI",2020-03-19 19:28:58,2020-03-08,33,2825,56,0,11
"192","Michigan","MI",2020-03-19 19:28:58,2020-03-15,301,11855,170,0,12
"193","Minnesota","MN",2020-03-19 19:28:58,2020-01-19,0,3,0,0,4
"194","Minnesota","MN",2020-03-19 19:28:58,2020-01-26,0,8,0,0,5
"195","Minnesota","MN",2020-03-19 19:28:58,2020-02-02,0,12,0,0,6
"196","Minnesota","MN",2020-03-19 19:28:58,2020-02-16,0,14,0,0,8
"197","Minnesota","MN",2020-03-19 19:28:58,2020-02-23,0,24,1,0,9
"198","Minnesota","MN",2020-03-19 19:28:58,2020-03-01,1,353,19,0,10
"199","Minnesota","MN",2020-03-19 19:28:58,2020-03-08,20,2825,56,0,11
"200","Minnesota","MN",2020-03-19 19:28:58,2020-03-15,68,11855,170,0,12
"201","Mississippi","MS",2020-03-19 19:28:58,2020-01-19,0,3,0,0,4
"202","Mississippi","MS",2020-03-19 19:28:58,2020-01-26,0,8,0,0,5
"203","Mississippi","MS",2020-03-19 19:28:58,2020-02-02,0,12,0,0,6
"204","Mississippi","MS",2020-03-19 19:28:58,2020-02-16,0,14,0,0,8
"205","Mississippi","MS",2020-03-19 19:28:58,2020-02-23,0,24,1,0,9
"206","Mississippi","MS",2020-03-19 19:28:58,2020-03-01,0,353,19,0,10
"207","Mississippi","MS",2020-03-19 19:28:58,2020-03-08,6,2825,56,0,11
"208","Mississippi","MS",2020-03-19 19:28:58,2020-03-15,44,11855,170,0,12
"209","Missouri","MO",2020-03-19 19:28:58,2020-01-19,0,3,0,0,4
"210","Missouri","MO",2020-03-19 19:28:58,2020-01-26,0,8,0,0,5
"211","Missouri","MO",2020-03-19 19:28:58,2020-02-02,0,12,0,0,6
"212","Missouri","MO",2020-03-19 19:28:58,2020-02-16,0,14,0,0,8
"213","Missouri","MO",2020-03-19 19:28:58,2020-02-23,0,24,1,0,9
"214","Missouri","MO",2020-03-19 19:28:58,2020-03-01,1,353,19,0,10
"215","Missouri","MO",2020-03-19 19:28:58,2020-03-08,4,2825,56,0,11
"216","Missouri","MO",2020-03-19 19:28:58,2020-03-15,17,11855,170,0,12
"217","Montana","MT",2020-03-19 19:28:58,2020-01-19,0,3,0,0,4
"218","Montana","MT",2020-03-19 19:28:58,2020-01-26,0,8,0,0,5
"219","Montana","MT",2020-03-19 19:28:58,2020-02-02,0,12,0,0,6
"220","Montana","MT",2020-03-19 19:28:58,2020-02-16,0,14,0,0,8
"221","Montana","MT",2020-03-19 19:28:58,2020-02-23,0,24,1,0,9
"222","Montana","MT",2020-03-19 19:28:58,2020-03-01,0,353,19,0,10
"223","Montana","MT",2020-03-19 19:28:58,2020-03-08,6,2825,56,0,11
"224","Montana","MT",2020-03-19 19:28:58,2020-03-15,6,11855,170,0,12
"225","Nebraska","NE",2020-03-19 19:28:58,2020-01-19,0,3,0,0,4
"226","Nebraska","NE",2020-03-19 19:28:58,2020-01-26,0,8,0,0,5
"227","Nebraska","NE",2020-03-19 19:28:58,2020-02-02,0,12,0,0,6
"228","Nebraska","NE",2020-03-19 19:28:58,2020-02-16,0,14,0,0,8
"229","Nebraska","NE",2020-03-19 19:28:58,2020-02-23,0,24,1,0,9
"230","Nebraska","NE",2020-03-19 19:28:58,2020-03-01,1,353,19,0,10
"231","Nebraska","NE",2020-03-19 19:28:58,2020-03-08,16,2825,56,0,11
"232","Nebraska","NE",2020-03-19 19:28:58,2020-03-15,10,11855,170,0,12
"233","Nevada","NV",2020-03-19 19:28:58,2020-01-19,0,3,0,0,4
"234","Nevada","NV",2020-03-19 19:28:58,2020-01-26,0,8,0,0,5
"235","Nevada","NV",2020-03-19 19:28:58,2020-02-02,0,12,0,0,6
"236","Nevada","NV",2020-03-19 19:28:58,2020-02-16,0,14,0,0,8
"237","Nevada","NV",2020-03-19 19:28:58,2020-02-23,0,24,1,0,9
"238","Nevada","NV",2020-03-19 19:28:58,2020-03-01,2,353,19,0,10
"239","Nevada","NV",2020-03-19 19:28:58,2020-03-08,17,2825,56,0,11
"240","Nevada","NV",2020-03-19 19:28:58,2020-03-15,76,11855,170,0,12
"241","New Hampshire","NH",2020-03-19 19:28:58,2020-01-19,0,3,0,0,4
"242","New Hampshire","NH",2020-03-19 19:28:58,2020-01-26,0,8,0,0,5
"243","New Hampshire","NH",2020-03-19 19:28:58,2020-02-02,0,12,0,0,6
"244","New Hampshire","NH",2020-03-19 19:28:58,2020-02-16,0,14,0,0,8
"245","New Hampshire","NH",2020-03-19 19:28:58,2020-02-23,0,24,1,0,9
"246","New Hampshire","NH",2020-03-19 19:28:58,2020-03-01,2,353,19,0,10
"247","New Hampshire","NH",2020-03-19 19:28:58,2020-03-08,5,2825,56,0,11
