"","X","ADM0_EN","ADM1_EN","ADM2_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE"
"245",318,"China","Ningxia Hui Autonomous Region","Shizuishan",0,0,0,0,0,"2020-29JAN"
"246",320,"China","Ningxia Hui Autonomous Region","Wuzhong",3,0,0,0,0,"2020-29JAN"
"247",321,"China","Ningxia Hui Autonomous Region","Yinchuan",21,0,0,0,0,"2020-29JAN"
"248",324,"China","Ningxia Hui Autonomous Region","Zhongwei",1,0,0,0,0,"2020-29JAN"
"249",325,"China","Qinghai Province","Golog Tibetan Autonomous Prefecture",0,0,0,0,0,"2020-29JAN"
"250",326,"China","Qinghai Province","Haibei Tibetan Autonomous Prefecture",0,0,0,0,0,"2020-29JAN"
"251",327,"China","Qinghai Province","Haidong",0,0,0,0,0,"2020-29JAN"
"252",328,"China","Qinghai Province","Hainan Tibetan Autonomous Prefecture",0,0,0,0,0,"2020-29JAN"
"253",329,"China","Qinghai Province","Haixi Mongolian Autonomous Prefecture",0,0,0,0,0,"2020-29JAN"
"254",330,"China","Qinghai Province","Huangnan Tibetan Autonomous Prefecture",0,0,0,0,0,"2020-29JAN"
"255",331,"China","Qinghai Province","Xining",6,0,0,0,0,"2020-29JAN"
"256",332,"China","Qinghai Province","Yushu Tibetan Autonomous Prefecture",0,0,0,0,0,"2020-29JAN"
"257",333,"China","Shaanxi Province","Ankang",10,0,0,0,0,"2020-29JAN"
"258",334,"China","Shaanxi Province","Baoji",4,0,0,0,0,"2020-29JAN"
"259",335,"China","Shaanxi Province","Hanzhong",6,0,0,0,0,"2020-29JAN"
"260",336,"China","Shaanxi Province","Shangluo",2,0,0,0,0,"2020-29JAN"
"261",337,"China","Shaanxi Province","Tongchuan",5,0,0,0,0,"2020-29JAN"
"262",338,"China","Shaanxi Province","Weinan",6,0,0,0,0,"2020-29JAN"
"263",340,"China","Shaanxi Province","Xi'an",18,0,0,0,0,"2020-29JAN"
"264",341,"China","Shaanxi Province","Xianyang",10,0,0,0,0,"2020-29JAN"
"265",343,"China","Shaanxi Province","Yan'an",3,0,0,0,0,"2020-29JAN"
"266",344,"China","Shaanxi Province","Yulin",0,0,0,0,0,"2020-29JAN"
"267",345,"China","Shandong Province","Binzhou",7,0,0,0,0,"2020-29JAN"
"268",346,"China","Shandong Province","Dezhou",11,0,0,0,0,"2020-29JAN"
"269",347,"China","Shandong Province","Dongying",0,0,0,0,0,"2020-29JAN"
"270",348,"China","Shandong Province","Heze",7,0,0,0,0,"2020-29JAN"
"271",349,"China","Shandong Province","Jinan",11,0,0,0,0,"2020-29JAN"
"272",350,"China","Shandong Province","Jining",5,0,0,0,0,"2020-29JAN"
"273",351,"China","Shandong Province","Laiwu",0,0,0,0,0,"2020-29JAN"
"274",352,"China","Shandong Province","Liaocheng",4,0,0,0,0,"2020-29JAN"
"275",353,"China","Shandong Province","Linyi",16,0,0,0,0,"2020-29JAN"
"276",354,"China","Shandong Province","Qingdao",17,0,0,0,1,"2020-29JAN"
"277",355,"China","Shandong Province","Rizhao",8,0,0,0,0,"2020-29JAN"
"278",356,"China","Shandong Province","Tai'an",3,0,0,0,0,"2020-29JAN"
"279",357,"China","Shandong Province","Weifang",5,0,0,0,0,"2020-29JAN"
"280",358,"China","Shandong Province","Weihai",12,0,0,0,0,"2020-29JAN"
"281",359,"China","Shandong Province","Yantai",12,0,0,0,0,"2020-29JAN"
"282",360,"China","Shandong Province","Zaozhuang",8,0,0,0,0,"2020-29JAN"
"283",361,"China","Shandong Province","Zibo",4,0,0,0,0,"2020-29JAN"
"284",362,"China","Shanghai Municipality","Shanghai Municipality",91,0,0,1,5,"2020-29JAN"
"285",381,"China","Shanxi Province","Changzhi",1,0,0,0,0,"2020-29JAN"
"286",382,"China","Shanxi Province","Datong",3,0,0,0,0,"2020-29JAN"
"287",383,"China","Shanxi Province","Jincheng",0,0,0,0,0,"2020-29JAN"
"288",384,"China","Shanxi Province","Jinzhong",9,0,0,0,0,"2020-29JAN"
"289",385,"China","Shanxi Province","Linfen",1,0,0,0,0,"2020-29JAN"
"290",386,"China","Shanxi Province","Lüliang",3,0,0,0,0,"2020-29JAN"
"291",387,"China","Shanxi Province","Shuozhou",2,0,0,0,0,"2020-29JAN"
"292",388,"China","Shanxi Province","Taiyuan",3,0,0,0,1,"2020-29JAN"
"293",389,"China","Shanxi Province","Xinzhou",0,0,0,0,0,"2020-29JAN"
"294",390,"China","Shanxi Province","Yangquan",1,0,0,0,0,"2020-29JAN"
"295",391,"China","Shanxi Province","Yuncheng",4,0,0,0,0,"2020-29JAN"
"296",392,"China","Sichuan Province","Bazhong",2,0,0,0,0,"2020-29JAN"
"297",393,"China","Sichuan Province","Chengdu",46,0,0,1,1,"2020-29JAN"
"298",394,"China","Sichuan Province","Dazhou",4,0,0,0,0,"2020-29JAN"
"299",395,"China","Sichuan Province","Deyang",2,0,0,0,0,"2020-29JAN"
"300",396,"China","Sichuan Province","Garzê Tibetan Autonomous Prefecture",3,0,0,0,0,"2020-29JAN"
"301",397,"China","Sichuan Province","Guang'an",7,0,0,0,0,"2020-29JAN"
"302",398,"China","Sichuan Province","Guangyuan",1,0,0,0,0,"2020-29JAN"
"303",399,"China","Sichuan Province","Leshan",2,0,0,0,0,"2020-29JAN"
"304",400,"China","Sichuan Province","Liangshan Yi Autonomous Prefecture",2,0,0,0,0,"2020-29JAN"
"305",402,"China","Sichuan Province","Luzhou",5,0,0,0,0,"2020-29JAN"
"306",403,"China","Sichuan Province","Meishan",1,0,0,0,0,"2020-29JAN"
"307",404,"China","Sichuan Province","Mianyang",8,0,0,0,0,"2020-29JAN"
"308",405,"China","Sichuan Province","Nanchong",5,0,0,0,0,"2020-29JAN"
"309",406,"China","Sichuan Province","Neijiang",4,0,0,0,0,"2020-29JAN"
"310",407,"China","Sichuan Province","Ngawa Tibetan and Qiang Autonomous Prefecture",0,0,0,0,0,"2020-29JAN"
"311",408,"China","Sichuan Province","Panzhihua",0,0,0,0,0,"2020-29JAN"
