"","Date","Country","Fatalities"
"639","2020-01-22","Spain",0
"640","2020-01-22","Iraq",0
"641","2020-01-22","Switzerland",0
"642","2020-01-22","United Kingdom",0
"643","2020-01-22","Netherlands",0
"644","2020-01-22","Egypt",0
"645","2020-01-22","Argentina",0
"646","2020-01-22","Germany",0
"647","2020-01-22","Belgium",0
"648","2020-01-22","Lebanon",0
"649","2020-01-22","Algeria",0
"650","2020-01-22","Norway",0
"651","2020-01-22","Sweden",0
"652","2020-01-22","Austria",0
"653","2020-01-22","Canada",0
"654","2020-01-22","Greece",0
"655","2020-01-22","India",0
"656","2020-01-22","Ireland",0
"657","2020-01-22","Poland",0
"658","2020-01-22","Indonesia",0
"659","2020-01-22","Albania",0
"660","2020-01-22","Bulgaria",0
"661","2020-01-22","Panama",0
"662","2020-01-22","Morocco",0
"663","2020-01-22","Guyana",0
"664","2020-01-22","Ecuador",0
"665","2020-01-22","Denmark",0
"666","2020-01-22","Slovenia",0
"667","2020-01-22","Luxembourg",0
"668","2020-01-22","Hungary",0
"669","2020-01-22","Azerbaijan",0
"670","2020-01-22","Ukraine",0
"671","2020-01-22","Sudan",0
"672","2020-01-22","Guatemala",0
"673","2020-01-23","China",25
"674","2020-01-23","Philippines",0
"675","2020-01-23","Hong Kong",0
"676","2020-01-23","Japan",0
"677","2020-01-23","France",0
"678","2020-01-23","Taipei and environs",0
"679","2020-01-23","Iran",0
"680","2020-01-23","Diamond Princess",0
"681","2020-01-23","South Korea",0
"682","2020-01-23","Italy",0
"683","2020-01-23","US",0
"684","2020-01-23","Thailand",0
"685","2020-01-23","Australia",0
"686","2020-01-23","San Marino",0
"687","2020-01-23","Spain",0
"688","2020-01-23","Iraq",0
"689","2020-01-23","Switzerland",0
"690","2020-01-23","United Kingdom",0
"691","2020-01-23","Netherlands",0
"692","2020-01-23","Egypt",0
"693","2020-01-23","Argentina",0
"694","2020-01-23","Germany",0
"695","2020-01-23","Belgium",0
"696","2020-01-23","Lebanon",0
"697","2020-01-23","Algeria",0
"698","2020-01-23","Norway",0
"699","2020-01-23","Sweden",0
"700","2020-01-23","Austria",0
"701","2020-01-23","Canada",0
"702","2020-01-23","Greece",0
"703","2020-01-23","India",0
"704","2020-01-23","Ireland",0
"705","2020-01-23","Poland",0
"706","2020-01-23","Indonesia",0
"707","2020-01-23","Albania",0
"708","2020-01-23","Bulgaria",0
"709","2020-01-23","Panama",0
"710","2020-01-23","Morocco",0
"711","2020-01-23","Guyana",0
"712","2020-01-23","Ecuador",0
"713","2020-01-23","Denmark",0
"714","2020-01-23","Slovenia",0
"715","2020-01-23","Luxembourg",0
"716","2020-01-23","Hungary",0
"717","2020-01-23","Azerbaijan",0
"718","2020-01-23","Ukraine",0
"719","2020-01-23","Sudan",0
"720","2020-01-23","Guatemala",0
"721","2020-01-24","China",41
"722","2020-01-24","Philippines",0
"723","2020-01-24","Hong Kong",0
"724","2020-01-24","Japan",0
"725","2020-01-24","France",0
"726","2020-01-24","Taipei and environs",0
"727","2020-01-24","Iran",0
"728","2020-01-24","Diamond Princess",0
"729","2020-01-24","South Korea",0
"730","2020-01-24","Italy",0
"731","2020-01-24","US",0
"732","2020-01-24","Thailand",0
"733","2020-01-24","Australia",0
"734","2020-01-24","San Marino",0
"735","2020-01-24","Spain",0
"736","2020-01-24","Iraq",0
"737","2020-01-24","Switzerland",0
"738","2020-01-24","United Kingdom",0
"739","2020-01-24","Netherlands",0
"740","2020-01-24","Egypt",0
"741","2020-01-24","Argentina",0
"742","2020-01-24","Germany",0
"743","2020-01-24","Belgium",0
"744","2020-01-24","Lebanon",0
"745","2020-01-24","Algeria",0
"746","2020-01-24","Norway",0
"747","2020-01-24","Sweden",0
"748","2020-01-24","Austria",0
"749","2020-01-24","Canada",0
"750","2020-01-24","Greece",0
"751","2020-01-24","India",0
"752","2020-01-24","Ireland",0
"753","2020-01-24","Poland",0
"754","2020-01-24","Indonesia",0
"755","2020-01-24","Albania",0
"756","2020-01-24","Bulgaria",0
"757","2020-01-24","Panama",0
"758","2020-01-24","Morocco",0
"759","2020-01-24","Guyana",0
"760","2020-01-24","Ecuador",0
"761","2020-01-24","Denmark",0
"762","2020-01-24","Slovenia",0
"763","2020-01-24","Luxembourg",0
"764","2020-01-24","Hungary",0
"765","2020-01-24","Azerbaijan",0
"766","2020-01-24","Ukraine",0
"767","2020-01-24","Sudan",0
"768","2020-01-24","Guatemala",0
"769","2020-01-25","China",56
"770","2020-01-25","Philippines",0
"771","2020-01-25","Hong Kong",0
"772","2020-01-25","Japan",0
"773","2020-01-25","France",0
"774","2020-01-25","Taipei and environs",0
"775","2020-01-25","Iran",0
"776","2020-01-25","Diamond Princess",0
"777","2020-01-25","South Korea",0
"778","2020-01-25","Italy",0
"779","2020-01-25","US",0
"780","2020-01-25","Thailand",0
"781","2020-01-25","Australia",0
"782","2020-01-25","San Marino",0
"783","2020-01-25","Spain",0
"784","2020-01-25","Iraq",0
"785","2020-01-25","Switzerland",0
"786","2020-01-25","United Kingdom",0
"787","2020-01-25","Netherlands",0
"788","2020-01-25","Egypt",0
"789","2020-01-25","Argentina",0
"790","2020-01-25","Germany",0
"791","2020-01-25","Belgium",0
"792","2020-01-25","Lebanon",0
"793","2020-01-25","Algeria",0
"794","2020-01-25","Norway",0
"795","2020-01-25","Sweden",0
"796","2020-01-25","Austria",0
"797","2020-01-25","Canada",0
