"","location","State_Code","date_time_accessed","WeekStart","state_weekly_cases","national_weekly_cases","national_weekly_deaths","national_weekly_rec","epiweek"
"217","Arkansas","AR",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"218","Arkansas","AR",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"219","Arkansas","AR",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"220","Arkansas","AR",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"221","Arkansas","AR",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"222","Arkansas","AR",2020-03-18 10:45:53,2020-03-01,0,353,19,0,10
"223","Arkansas","AR",2020-03-18 10:45:53,2020-03-08,12,2825,56,0,11
"224","Arkansas","AR",2020-03-18 10:45:53,2020-03-15,10,5626,90,0,12
"225","Florida","FL",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"226","Florida","FL",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"227","Florida","FL",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"228","Florida","FL",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"229","Florida","FL",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"230","Florida","FL",2020-03-18 10:45:53,2020-03-01,8,353,19,0,10
"231","Florida","FL",2020-03-18 10:45:53,2020-03-08,108,2825,56,0,11
"232","Florida","FL",2020-03-18 10:45:53,2020-03-15,76,5626,90,0,12
"233","Georgia","GA",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"234","Georgia","GA",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"235","Georgia","GA",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"236","Georgia","GA",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"237","Georgia","GA",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"238","Georgia","GA",2020-03-18 10:45:53,2020-03-01,7,353,19,0,10
"239","Georgia","GA",2020-03-18 10:45:53,2020-03-08,59,2825,56,0,11
"240","Georgia","GA",2020-03-18 10:45:53,2020-03-15,80,5626,90,0,12
"241","Kentucky","KY",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"242","Kentucky","KY",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"243","Kentucky","KY",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"244","Kentucky","KY",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"245","Kentucky","KY",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"246","Kentucky","KY",2020-03-18 10:45:53,2020-03-01,1,353,19,0,10
"247","Kentucky","KY",2020-03-18 10:45:53,2020-03-08,15,2825,56,0,11
"248","Kentucky","KY",2020-03-18 10:45:53,2020-03-15,10,5626,90,0,12
"249","Louisiana","LA",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"250","Louisiana","LA",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"251","Louisiana","LA",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"252","Louisiana","LA",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"253","Louisiana","LA",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"254","Louisiana","LA",2020-03-18 10:45:53,2020-03-01,0,353,19,0,10
"255","Louisiana","LA",2020-03-18 10:45:53,2020-03-08,77,2825,56,0,11
"256","Louisiana","LA",2020-03-18 10:45:53,2020-03-15,119,5626,90,0,12
"257","Mississippi","MS",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"258","Mississippi","MS",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"259","Mississippi","MS",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"260","Mississippi","MS",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"261","Mississippi","MS",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"262","Mississippi","MS",2020-03-18 10:45:53,2020-03-01,0,353,19,0,10
"263","Mississippi","MS",2020-03-18 10:45:53,2020-03-08,6,2825,56,0,11
"264","Mississippi","MS",2020-03-18 10:45:53,2020-03-15,15,5626,90,0,12
"265","North Carolina","NC",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"266","North Carolina","NC",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"267","North Carolina","NC",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"268","North Carolina","NC",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"269","North Carolina","NC",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"270","North Carolina","NC",2020-03-18 10:45:53,2020-03-01,2,353,19,0,10
