"age group","county name","cases","deaths","confirmed_case_hospitalization"
"18-29 years","Fayette","2564","4","37"
"30-39 years","Fayette","1846","6","53"
"40-49 years","Fayette","2307","6","91"
"50-59 years","Fayette","2240","16","155"
"60-69 years","Fayette","1588","34","147"
"70-79 years","Fayette","809","82","177"
"80 & Older years","Fayette","481","82","122"
"<1 years","Fayette","75","0","4"
"Unknown years","Fayette","23","0","0"
"01-04 years","Floyd","344","0","6"
"05-09 years","Floyd","646","0","1"
"10-17 years","Floyd","2085","1","15"
"18-29 years","Floyd","4026","4","62"
"30-39 years","Floyd","3008","7","75"
"40-49 years","Floyd","2778","18","141"
"50-59 years","Floyd","2685","44","238"
"60-69 years","Floyd","1872","62","283"
"70-79 years","Floyd","1114","92","283"
"80 & Older years","Floyd","594","102","203"
"<1 years","Floyd","147","0","8"
"Unknown years","Floyd","100","0","2"
"01-04 years","Forsyth","763","0","9"
"05-09 years","Forsyth","1918","0","2"
"10-17 years","Forsyth","4967","0","13"
"18-29 years","Forsyth","5941","0","66"
"30-39 years","Forsyth","5019","3","96"
"40-49 years","Forsyth","6402","12","185"
"50-59 years","Forsyth","5301","27","251"
"60-69 years","Forsyth","2726","47","240"
"70-79 years","Forsyth","1539","87","290"
"80 & Older years","Forsyth","831","119","226"
"<1 years","Forsyth","163","0","7"
"Unknown years","Forsyth","322","0","1"
"01-04 years","Franklin","48","0","1"
"05-09 years","Franklin","104","0","0"
"10-17 years","Franklin","351","0","6"
"18-29 years","Franklin","722","1","15"
"30-39 years","Franklin","530","0","13"
"40-49 years","Franklin","539","2","22"
"50-59 years","Franklin","555","4","38"
"60-69 years","Franklin","466","9","48"
"70-79 years","Franklin","279","27","50"
"80 & Older years","Franklin","137","27","35"
"<1 years","Franklin","24","0","4"
"Unknown years","Franklin","40","0","0"
"01-04 years","Fulton","3100","0","56"
"05-09 years","Fulton","5361","0","44"
"10-17 years","Fulton","13531","1","134"
"18-29 years","Fulton","39182","6","844"
"30-39 years","Fulton","31289","51","1071"
"40-49 years","Fulton","23937","65","1152"
"50-59 years","Fulton","19872","189","1627"
